geometria,estructura,L,N,Tc_estrella,chi_max,delta_rel_prev,L_optimo,J_eV,Tc_exp_K,kB_eV_per_K
fe_mp13,"Fe (mp-13, BCC, z=8, a=2.863 Å)",2,16,2.34009345,0.146807,,8,0.041869,1043.00,8.61733326214e-05
fe_mp13,"Fe (mp-13, BCC, z=8, a=2.863 Å)",4,128,2.14666667,0.497418,0.0826577,8,0.041869,1043.00,8.61733326214e-05
fe_mp13,"Fe (mp-13, BCC, z=8, a=2.863 Å)",6,432,2.14666667,1.67929,0,8,0.041869,1043.00,8.61733326214e-05
fe_mp13,"Fe (mp-13, BCC, z=8, a=2.863 Å)",8,1024,2.14666667,1.80596,0,8,0.041869,1043.00,8.61733326214e-05
