geometria,dimension,L,N,Tc_estimada,Tc_referencia,error_relativo,error_porcentaje,chi_max
ni_mp23,3,2,32,7.94719293,9.79400000,0.18856515,18.8565,2.94813438
ni_mp23,3,4,256,9.79904935,9.79400000,0.00051556,0.0516,5.83620915
ni_mp23,3,6,864,9.96479784,9.79400000,0.01743903,1.7439,3.74189258
ni_mp23,3,8,2048,9.80914276,9.79400000,0.00154613,0.1546,22.17980467
