geometria,dimension,L,N,Tc_estimada,Tc_referencia,error_relativo,error_porcentaje,chi_max
cubica,3,2,8,3.02989969,4.51152400,0.32840883,32.8409,2.18017904
cubica,3,4,64,3.71892127,4.51152400,0.17568403,17.5684,10.55587155
cubica,3,6,216,4.43079770,4.51152400,0.01789335,1.7893,13.11260392
cubica,3,8,512,4.74186000,4.51152400,0.05105503,5.1055,8.12286269
cubica,3,10,1000,4.65873532,4.51152400,0.03263006,3.2630,17.08389322
cubica,3,12,1728,4.66070305,4.51152400,0.03306622,3.3066,19.58736580
